id,name,orcid,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,institution,country,top_concepts,works_api_url
https://openalex.org/A5108803445,David Marr,,60,28998,29,38,0.0,Massachusetts Institute of Technology,US,"Recall, Spatial frequency, Modular design, Motion (physics), Motion (physics)",https://api.openalex.org/works?filter=author.id:A5108803445
https://openalex.org/A5091804814,Eugene M. Izhikevich,,81,22482,38,42,0.0,,,"Saddle-node bifurcation, Saddle-node bifurcation, Saddle-node bifurcation, Hodgkin–Huxley model, Hodgkin–Huxley model",https://api.openalex.org/works?filter=author.id:A5091804814
https://openalex.org/A5084467223,Nikolaus Kriegeskorte,https://orcid.org/0000-0001-7433-9005,311,30751,71,130,5.915254237288136,Brain (Germany),DE,"Algorithm, Engineering, Artificial intelligence, Residual",https://api.openalex.org/works?filter=author.id:A5084467223
https://openalex.org/A5075063030,Peter Dayan,https://orcid.org/0000-0003-3476-1839,998,87112,117,383,4.531914893617022,Max Planck Institute for Biological Cybernetics,DE,"Psychology, Psychology, Neuroscience, Cognition",https://api.openalex.org/works?filter=author.id:A5075063030
https://openalex.org/A5009290840,L. F. Abbott,,54,6665,22,29,0.5,Columbia University,US,"Voltage clamp, Hodgkin–Huxley model, Elementary particle, Motion (physics)",https://api.openalex.org/works?filter=author.id:A5009290840
https://openalex.org/A5035043576,Fred Rieke,https://orcid.org/0000-0002-1052-2609,308,15055,61,119,2.3015873015873014,University of Washington,US,"Operating system, Algorithm, Visual system, Physics",https://api.openalex.org/works?filter=author.id:A5035043576
https://openalex.org/A5050458937,Davd Warland,,1,2886,1,1,0.0,Harvard University,US,"Software engineering, Physics, Computational neuroscience, Artificial intelligence, Psychology",https://api.openalex.org/works?filter=author.id:A5050458937
https://openalex.org/A5110230902,Rob de Ruyter van Steveninck,,22,4291,10,10,0.0,Indiana University Bloomington,US,"Poisson distribution, Finance, Motion (physics), Motion (physics), Motion (physics)",https://api.openalex.org/works?filter=author.id:A5110230902
https://openalex.org/A5010379923,William Bialek,https://orcid.org/0000-0002-7823-3862,315,30357,73,145,3.5172413793103448,Rockefeller University,US,"Systems biology, Computational biology, Biology, Cell biology",https://api.openalex.org/works?filter=author.id:A5010379923
https://openalex.org/A5003480477,Wulfram Gerstner,https://orcid.org/0000-0002-4344-2189,443,31962,77,210,5.487179487179487,École Polytechnique Fédérale de Lausanne,CH,"Physics, Psychology, Neuroscience, Biological system",https://api.openalex.org/works?filter=author.id:A5003480477
https://openalex.org/A5079504672,Werner M. Kistler,,40,9344,19,24,0.0,European Patent Organisation,DE,"Collective behavior, Finance, Hodgkin–Huxley model, Hodgkin–Huxley model, Gene",https://api.openalex.org/works?filter=author.id:A5079504672
https://openalex.org/A5028840283,Mitsuo Kawato,https://orcid.org/0000-0001-8185-1197,671,42669,100,294,3.977777777777778,RIKEN Center for Advanced Intelligence Project,JP,"Competence (human resources), Competence (human resources), Embodied cognition, Germination",https://api.openalex.org/works?filter=author.id:A5028840283
https://openalex.org/A5034466442,David C. Knill,,133,9977,43,66,0.0,University of Rochester,US,"Spatial frequency, Bayesian statistics, Finance, Finance, Finance",https://api.openalex.org/works?filter=author.id:A5034466442
https://openalex.org/A5039593921,Alexandre Pouget,https://orcid.org/0000-0003-3054-6365,173,22879,67,120,27.80952380952381,University College London,GB,"Psychology, Neuroscience, Cognition, Cognitive psychology, Hindbrain",https://api.openalex.org/works?filter=author.id:A5039593921
https://openalex.org/A5009266404,Danielle S. Bassett,https://orcid.org/0000-0002-6183-4493,739,48809,106,326,2.192982456140351,Emory University,US,"Function (biology), Artificial intelligence, Control (management), Computer science",https://api.openalex.org/works?filter=author.id:A5009266404
https://openalex.org/A5002202464,Olaf Sporns,https://orcid.org/0000-0001-7265-4036,501,98866,112,292,14.063492063492063,Indiana University School of Medicine,,"Environmental science, Computer science, Commissure, Commissure",https://api.openalex.org/works?filter=author.id:A5002202464
https://openalex.org/A5024986150,Daniel M. Wolpert,https://orcid.org/0000-0003-2011-2790,356,58484,104,210,4.309523809523809,Columbia University,US,"Recall, Bridge (graph theory), Bayesian statistics, Bayesian statistics",https://api.openalex.org/works?filter=author.id:A5024986150
https://openalex.org/A5010820865,Zoubin Ghahramani,https://orcid.org/0000-0002-7464-6475,401,56738,99,276,85.25,University of Cambridge,GB,"Perplexity, Perplexity, Graph kernel, Poisson distribution, Bayesian statistics",https://api.openalex.org/works?filter=author.id:A5010820865
https://openalex.org/A5082015840,Hae‐Jeong Park,https://orcid.org/0000-0002-4633-0756,277,11610,52,142,0.8,Yonsei University,KR,"Modular design, Modular design, Random access, Emotional conflict",https://api.openalex.org/works?filter=author.id:A5082015840
https://openalex.org/A5086852785,Karl Friston,https://orcid.org/0000-0001-7984-8909,2051,296123,259,1158,7.260700389105058,King's College London,GB,"Library science, Editorial board, Computer science, Medicine",https://api.openalex.org/works?filter=author.id:A5086852785
https://openalex.org/A5084822308,Christof Koch,https://orcid.org/0000-0001-6482-8067,1100,137783,160,532,12.220588235294118,Ohio Northern University,US,"Optics, Physics, Function (biology), Artificial intelligence",https://api.openalex.org/works?filter=author.id:A5084822308
https://openalex.org/A5011316863,Daniel Yamins,https://orcid.org/0000-0001-6155-4523,165,12452,36,73,4.457142857142857,Neurosciences Institute,US,"Embodied cognition, Embodied cognition, Embodied cognition, Finance",https://api.openalex.org/works?filter=author.id:A5011316863
https://openalex.org/A5014769767,James J. DiCarlo,https://orcid.org/0000-0002-1592-5896,207,31679,67,112,15.0,McGovern Institute for Brain Research,US,"Embodied cognition, Embodied cognition, Embodied cognition, Bridge (graph theory), Spatial frequency",https://api.openalex.org/works?filter=author.id:A5014769767
https://openalex.org/A5061468246,Richard Naud,https://orcid.org/0000-0001-7383-3095,148,5911,24,39,2.8260869565217392,MIND Research Institute,US,"Recall, Finance, Finance, Hodgkin–Huxley model",https://api.openalex.org/works?filter=author.id:A5061468246
https://openalex.org/A5023278055,Liam Paninski,https://orcid.org/0000-0002-0276-7032,291,22390,67,160,9.533333333333333,Columbia University Irving Medical Center,US,"Crawling, Recall, Poisson distribution, Poisson distribution",https://api.openalex.org/works?filter=author.id:A5023278055
https://openalex.org/A5053764911,Patricia Smith Churchland,,203,10718,45,72,0.7142857142857143,"University of California, San Diego",US,"Psychology, Neuroscience, Cognition, Illusion, Cognitive science",https://api.openalex.org/works?filter=author.id:A5053764911
https://openalex.org/A5044141636,Terrence J. Sejnowski,https://orcid.org/0000-0002-0622-7391,1002,113111,153,542,8.555555555555555,Salk Institute for Biological Studies,US,"Bioenergetics, Bioenergetics, Bioenergetics, Commissure",https://api.openalex.org/works?filter=author.id:A5044141636
https://openalex.org/A5112273404,James C. Houk,,152,13932,59,105,0.0,,,"H-reflex, Recall, Recall, Recall, Recall",https://api.openalex.org/works?filter=author.id:A5112273404
https://openalex.org/A5111366370,Joel L. Davis,,87,4109,23,39,0.0,,,"Anabolism, Extinction (optical mineralogy), Neuroanatomy, Erg, Gene",https://api.openalex.org/works?filter=author.id:A5111366370
https://openalex.org/A5011821037,David G. Beiser,https://orcid.org/0000-0001-9676-087X,135,3702,25,40,2.6666666666666665,University of Chicago,US,"Pathophysiology, Pathophysiology, Gene, Angiotensin receptor",https://api.openalex.org/works?filter=author.id:A5011821037
https://openalex.org/A5064885281,Michael Breakspear,https://orcid.org/0000-0003-4943-3969,424,31882,87,241,19.718309859154928,Hunter Medical Research Institute,AU,"Thermoregulation, Recall, Recall, Recall",https://api.openalex.org/works?filter=author.id:A5064885281
https://openalex.org/A5054280386,Nicholas T. Carnevale,,81,7938,29,36,1.0,,,"Voltage clamp, Voltage clamp, Voltage clamp, Voltage clamp, Counterintuitive",https://api.openalex.org/works?filter=author.id:A5054280386
https://openalex.org/A5027748067,Michael L. Hines,https://orcid.org/0000-0003-1830-7433,165,13718,43,80,0.0,,,"Computational neuroscience, Artificial intelligence, Programming language, Pure mathematics, Neuroinformatics",https://api.openalex.org/works?filter=author.id:A5027748067
https://openalex.org/A5022472476,Michael London,https://orcid.org/0000-0001-5137-1707,61,4813,26,36,3.5,Hebrew University of Jerusalem,IL,"Recall, Recall, Excretion, Therapeutic effect",https://api.openalex.org/works?filter=author.id:A5022472476
