id,name,orcid,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,institution,country,top_concepts,works_api_url
https://openalex.org/A5086198262,Yoshua Bengio,https://orcid.org/0000-0002-9322-3515,1290,479505,187,721,72.59583333333333,Centre Universitaire de Mila,DZ,"Computer science, Environmental science, Geology, Engineering",https://api.openalex.org/works?filter=author.id:A5086198262
https://openalex.org/A5086852785,Karl Friston,https://orcid.org/0000-0001-7984-8909,2051,296123,259,1158,7.260700389105058,King's College London,GB,"Library science, Editorial board, Computer science, Medicine",https://api.openalex.org/works?filter=author.id:A5086852785
https://openalex.org/GS_Stephen_M._Smith,Stephen M. Smith,,0,263905,0,0,0.0,WIN (FMRIB),,Brain imaging MRI Computational Neuroscience Connectomics Medical Image Analysis,
https://openalex.org/GS_Anders_M._Dale,Anders M. Dale,,0,224519,0,0,0.0,President,,Neuroimaging MRI Computational Neuroscience Statistical Genetics Biomedical Optics,
https://openalex.org/A5044141636,Terrence J. Sejnowski,https://orcid.org/0000-0002-0622-7391,1002,187381,153,542,8.555555555555555,Francis Crick Professor,US,"Bioenergetics, Bioenergetics, Bioenergetics, Commissure",https://api.openalex.org/works?filter=author.id:A5044141636
https://openalex.org/GS_Jonathon_Shlens,Jonathon Shlens,,0,175314,0,0,0.0,Principal Scientist and Director,,Vision Machine Learning Computational Neuroscience,
https://openalex.org/GS_Klaus-Robert_Müller,Klaus-Robert Müller,,0,172217,0,0,0.0,TU Berlin & Korea University & Google DeepMind,,Machine learning artificial intelligence big data computational neuroscience,
https://openalex.org/A5071093940,Joshua B. Tenenbaum,https://orcid.org/0000-0002-1925-2035,932,139379,114,449,8.668141592920353,MIT,US,"Human–computer interaction, Epistemology, Epistemology, Psychoanalysis",https://api.openalex.org/works?filter=author.id:A5071093940
https://openalex.org/A5084822308,Christof Koch,https://orcid.org/0000-0001-6482-8067,1100,137783,160,532,12.220588235294118,Ohio Northern University,US,"Optics, Physics, Function (biology), Artificial intelligence",https://api.openalex.org/works?filter=author.id:A5084822308
https://openalex.org/GS_Eero_P_Simoncelli,Eero P Simoncelli,,0,132788,0,0,0.0,Professor of Neural Science,,Computational Vision Computational Neuroscience Image Processing,
https://openalex.org/GS_Tim_Behrens,Tim Behrens,,0,128893,0,0,0.0,Professor of Computational Neuroscience,,Computational Neuroscience Behavioral Neuroscience Representation learning,
https://openalex.org/GS_Edmund_T_Rolls,Edmund T Rolls,,0,126138,0,0,0.0,Oxford Centre for Computational Neuroscience,,Neuroscience Computational Neuroscience Emotion Memory Vision,
https://openalex.org/A5002202464,Olaf Sporns,https://orcid.org/0000-0001-7265-4036,501,125492,112,292,14.063492063492063,Distinguished Professor,,"Environmental science, Computer science, Commissure, Commissure",https://api.openalex.org/works?filter=author.id:A5002202464
https://openalex.org/GS_Vinod_Menon,Vinod Menon,,0,106291,0,0,0.0,Professor of Psychiatry,,Systems neuroscience Psychiatry Cognitive neuroscience Computational neuroscience,
https://openalex.org/GS_Christos_H_Papadimitriou,Christos H Papadimitriou,,0,102049,0,0,0.0,Columbia University,,Algorithms Complexity Game Theory Evolution Computational Neuroscience,
https://openalex.org/GS_Matthew_Botvinick,Matthew Botvinick,,0,101163,0,0,0.0,Google DeepMind,,Artificial Intelligence AI Policy Cognitive Science Computational Neuroscience,
https://openalex.org/GS_Stephen_Grossberg,Stephen Grossberg,,0,89143,0,0,0.0,Wang Professor,,computational neuroscience theoretical cognitive science neuromorphic technology,
https://openalex.org/GS_Mark_Woolrich,Mark Woolrich,,0,88364,0,0,0.0,Director,,Neuroscience Neuroimaging Computational Neuroscience Machine Learning,
https://openalex.org/A5075063030,Peter Dayan,https://orcid.org/0000-0003-3476-1839,998,87112,117,383,4.531914893617022,Max Planck Institute for Biological Cybernetics,DE,"Psychology, Psychology, Neuroscience, Cognition",https://api.openalex.org/works?filter=author.id:A5075063030
https://openalex.org/GS_Jean-Jacques_Slotine,Jean-Jacques Slotine,,0,82313,0,0,0.0,MIT,,Dynamical Systems Control Theory Complex Systems Computational Neuroscience,
https://openalex.org/GS_Aapo_Hyvärinen,Aapo Hyvärinen,,0,79312,0,0,0.0,University of Helsinki,,Machine Learning Computational Neuroscience,
https://openalex.org/GS_Daniel_Wolpert,Daniel M. Wolpert,,356,79215,104,0,0.0,Professor of Neuroscience,,Neuroscience Computational Neuroscience motor control motor learning,
https://openalex.org/A5063079579,Eric‐Jan Wagenmakers,https://orcid.org/0000-0003-1596-1034,763,73191,111,343,6.037383177570093,University of Amsterdam,NL,"Public economics, Public economics, Recall, Recall",https://api.openalex.org/works?filter=author.id:A5063079579
https://openalex.org/GS_H_Sebastian_Seung,H Sebastian Seung,,0,69823,0,0,0.0,Professor,,computational neuroscience connectomics,
https://openalex.org/A5066294254,Timothy Lillicrap,https://orcid.org/0000-0001-8918-486X,158,64014,58,109,74.73684210526316,Google (United States),US,"Perplexity, Embodied cognition, Embodied cognition, Embodied cognition",https://api.openalex.org/works?filter=author.id:A5066294254
https://openalex.org/GS_Peter_J._Basser,Peter J. Basser,,0,63311,0,0,0.0,Senior Investigator,,Diffusion MRI Neuroscience,
